Time[s],DEV1_db::CSDO_001::CCS,DEV1_db::HBGuard_001::Toggle,DEV1_db::HBGuard_001::State,DEV1_db::HBGuard_008::Toggle,DEV1_db::HBGuard_008::State,DEV1_db::N8_TPDO0::Temp_2,DEV1_db::N8_TPDO0::Temp_1,DEV1_db::N8_TPDO1::Temp_4,DEV1_db::N8_TPDO1::Temp_3,DEV1_db::N8_TPDO3::Voltage_Sensor_4,DEV1_db::N8_TPDO3::Voltage_Sensor_3,DEV1_db::NMTZeroMsg::Node_ID,DEV1_db::NMTZeroMsg::CS,DEV1_db::SSDO_001::SCS
164.637300,,0,5,,,,,,,,,,,
164.957200,,,,,,24874,7580,,,,,,,
164.957500,,,,,,24874,7580,,,,,,,
165.352250,,,,,,,,8264,8264,,,,,
165.352600,,,,,,,,8264,8264,,,,,
166.142450,,,,,,,,,,125,123,,,
166.142750,,,,,,,,,,125,123,,,
168.509300,,,,,,7873,7873,,,,,,,
168.509600,,,,,,7873,7873,,,,,,,
168.904350,,,,,,,,7971,7971,,,,,
168.904700,,,,,,,,7971,7971,,,,,
169.139200,,0,5,,,,,,,,,,,
169.694500,,,,,,,,,,129,125,,,
169.694900,,,,,,,,,,129,125,,,
171.390100,,0,5,,,,,,,,,,,
171.666400,,,,0,5,,,,,,,,,
172.061300,,,,,,38057,8166,,,,,,,
172.061700,,,,,,38057,8166,,,,,,,
172.456350,,,,,,,,7482,24678,,,,,
172.456650,,,,,,,,7482,24678,,,,,
173.247050,,,,,,,,,,129,120,,,
173.640800,,0,5,,,,,,,,,,,
175.218300,,,,0,5,,,,,,,,,
175.613400,,,,,,24385,8557,,,,,,,
175.613650,,,,,,24385,8557,,,,,,,
175.891450,,0,5,,,,,,,,,,,
176.008400,,,,,,,,8068,8068,,,,,
176.008800,,,,,,,,8068,8068,,,,,
176.798650,,,,,,,,,,128,128,,,
176.799000,,,,,,,,,,128,128,,,
178.142200,,0,5,,,,,,,,,,,
179.165050,,,,0,5,,,,,,,,,
179.559900,,,,,,7677,26438,,,,,,,
179.560250,,,,,,7677,26438,,,,,,,
179.955000,,,,,,,,8655,8362,,,,,
179.955350,,,,,,,,8655,8362,,,,,
180.392950,,0,5,,,,,,,,,,,
182.643850,,0,5,,,,,,,,,,,
183.111650,,,,0,5,,,,,,,,,
183.506550,,,,,,8264,7384,,,,,,,
183.506900,,,,,,8264,7384,,,,,,,
183.901650,,,,,,,,7580,7971,,,,,
183.902000,,,,,,,,7580,7971,,,,,
184.691900,,,,,,,,,,130,127,,,
184.692250,,,,,,,,,,130,127,,,
184.894700,,0,5,,,,,,,,,,,
187.058300,,,,0,5,,,,,,,,,
187.145650,,0,5,,,,,,,,,,,
187.453200,,,,,,7971,7775,,,,,,,
187.453500,,,,,,7971,7775,,,,,,,
187.848200,,,,,,,,8068,8753,,,,,
187.848550,,,,,,,,8068,8753,,,,,
188.638350,,,,,,,,,,124,127,,,
188.638650,,,,,,,,,,124,127,,,
189.396800,,0,5,,,,,,,,,,,
191.004500,,,,0,5,,,,,,,,,
191.399500,,,,,,24678,7677,,,,,,,
191.647900,,0,5,,,,,,,,,,,
191.794450,,,,,,,,8166,8068,,,,,
191.794750,,,,,,,,8166,8068,,,,,
192.584650,,,,,,,,,,124,126,,,
192.585000,,,,,,,,,,124,126,,,
193.899150,,0,5,,,,,,,,,,,
